time,actuationPowerWatt
18.2799999999998,-10.0067771100328
18.3199999999998,-10.427432434105
18.3599999999998,-10.8483921454625
18.3999999999998,-11.2684611380058
18.4399999999998,-11.6863820167429
18.4799999999998,-12.1008328118684
18.5199999999998,-12.5104240238666
18.5599999999998,-12.9136948991055
18.5999999999998,-13.3091088265387
18.6399999999998,-13.6950477365407
18.6799999999998,-14.0698053729035
18.7199999999998,-14.4315792991971
18.7599999999998,-14.7784614919574
18.7999999999998,-15.1084273668925
18.8399999999998,-15.4193230825742
18.8799999999998,-15.7088509719027
18.9199999999998,-15.9745529693663
18.9599999999998,-16.2137919379105
18.9999999999998,-16.4237308617376
19.0399999999998,-16.6013099725165
19.0799999999998,-16.7432220325831
19.1199999999998,-16.8458862315366
19.1599999999998,-16.9054214907334
19.1999999999998,-16.9176204498485
19.2399999999998,-16.8779260752688
19.2799999999998,-16.7814137325555
19.3199999999998,-16.6227827572951
19.3599999999998,-16.396363083999
19.3999999999998,-16.0961443651778
19.4399999999998,-15.7158371808099
19.4799999999998,-15.2489782297509
19.5199999999998,-14.6890934378194
19.5599999999998,-14.0299340473575
19.5999999999998,-13.265799925172
19.6399999999998,-12.3919600949232
19.6799999999998,-11.405171168345
19.7199999999998,-10.3042784177183
19.7599999999998,-9.0908612685905
19.7999999999998,-7.76985687925166
19.8399999999998,-6.3500676352809
19.8799999999998,-4.84444012577679
19.9199999999998,-3.27000596872755
19.9599999999998,-1.64740801212427
20,-1.0733077497422e-13
